"gID";"T";"x";"y";"itemsInCraneID"
0;1.0;-5;5;null
0;11.0;-5;5;2600
0;59.0;235;5;2600
0;69.0;235;5;null
0;117.0;-5;5;null
0;127.0;-5;5;2601
0;211.0;415;5;2601
0;221.0;415;5;null
0;305.0;-5;5;null
0;315.0;-5;5;2602
0;397.0;405;5;2602
0;407.0;405;5;null
0;489.0;-5;5;null
0;499.0;-5;5;2603
0;685.0;925;5;2603
0;695.0;925;5;null
0;881.0;-5;5;null
0;891.0;-5;5;2604
0;965.0;365;5;2604
0;975.0;365;5;null
0;1049.0;-5;5;null
0;1059.0;-5;5;2605
0;1161.0;505;5;2605
0;1171.0;505;5;null
0;1273.0;-5;5;null
0;1283.0;-5;5;2606
0;1333.0;245;5;2606
0;1343.0;245;5;null
0;1393.0;-5;5;null
0;1403.0;-5;5;2607
0;1419.0;75;5;2607
0;1429.0;75;5;null
0;1445.0;-5;5;null
0;1455.0;-5;5;2608
0;1625.0;845;5;2608
0;1635.0;845;5;null
0;1805.0;-5;5;null
0;1815.0;-5;5;2609
0;1887.0;355;5;2609
0;1897.0;355;5;null
0;1969.0;-5;5;null
0;1979.0;-5;5;2610
0;2081.0;505;5;2610
0;2091.0;505;5;null
0;2193.0;-5;5;null
0;2203.0;-5;5;2611
0;2289.0;425;5;2611
0;2299.0;425;5;null
0;2385.0;-5;5;null
0;2395.0;-5;5;2612
0;2567.0;855;5;2612
0;2577.0;855;5;null
0;2749.0;-5;5;null
0;2759.0;-5;5;2613
0;2809.0;245;5;2613
0;2819.0;245;5;null
0;2869.0;-5;5;null
0;2879.0;-5;5;2614
0;2933.0;265;5;2614
0;2943.0;265;5;null
0;2997.0;-5;5;null
0;3007.0;-5;5;2615
0;3149.0;705;5;2615
0;3159.0;705;5;null
0;3301.0;-5;5;null
0;3311.0;-5;5;2616
0;3347.0;175;5;2616
0;3357.0;175;5;null
0;3393.0;-5;5;null
0;3403.0;-5;5;2617
0;3485.0;405;5;2617
0;3495.0;405;5;null
0;3577.0;-5;5;null
0;3587.0;-5;5;2618
0;3629.0;205;5;2618
0;3639.0;205;5;null
0;3681.0;-5;5;null
0;3691.0;-5;5;2619
0;3697.0;25;5;2619
0;3707.0;25;5;null
0;3713.0;-5;5;null
0;3723.0;-5;5;2620
0;3797.0;365;5;2620
0;3807.0;365;5;null
0;3881.0;-5;5;null
0;3891.0;-5;5;2621
0;3939.0;235;5;2621
0;3949.0;235;5;null
0;3997.0;-5;5;null
0;4007.0;-5;5;2622
0;4091.0;415;5;2622
0;4101.0;415;5;null
0;4185.0;-5;5;null
0;4195.0;-5;5;2623
0;4361.0;825;5;2623
0;4371.0;825;5;null
0;4537.0;-5;5;null
